dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
mnist;10;simplenet_mnist;pruning;0.2;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.57933044;100;0.065065384
mnist;10;simplenet_mnist;pruning;0.3;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.57933044;100;0.073193073
mnist;10;simplenet_mnist;pruning;0.4;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.58934021;100;0.073239326
mnist;10;simplenet_mnist;pruning;0.5;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.58934021;100;0.073150396
mnist;10;simplenet_mnist;pruning;0.6;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.6193924;100;0.075840712
mnist;10;simplenet_mnist;pruning;0.7;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.609375;100;0.077648401
mnist;10;simplenet_mnist;pruning;0.8;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.19871521;100;0.085731506
mnist;10;simplenet_mnist;pruning;0.9;0.1;64;32;1;12;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;33.61378098;33.33333206;0.081431866
mnist;10;simplenet_mnist;pruning;0.1;0.1;64;32;1;24;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.58934021;100;0.082496405
mnist;10;simplenet_mnist;pruning;0.2;0.1;64;32;1;24;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.58934021;100;0.071350813
mnist;10;simplenet_mnist;pruning;0.3;0.1;64;32;1;24;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.58934021;100;0.0680902
mnist;10;simplenet_mnist;pruning;0.4;0.1;64;32;1;24;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.609375;100;0.077646017
mnist;10;simplenet_mnist;pruning;0.5;0.1;64;32;1;24;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.6193924;100;0.07517314
mnist;10;simplenet_mnist;pruning;0.6;0.1;64;32;1;24;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;99.609375;100;0.081176758
